Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 8, 16, 1, 64, 10.7946, 10.1592, N/A, 1.35826, 1.35829, 1.11979, 133.262, 8, 512, 0.125, 1, 1, 1, 44.5541, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 11.983, 11.4018, N/A, 1.38681, 1.38685, 0.724151, 134.877, 8, 512, 0.125, 1, 1, 1, 44.0206, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 10.0374, 9.34118, N/A, 1.35208, 1.35211, 88.3557, 134.499, 8, 512, 0.125, 1, 1, 1, 44.1443, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 10.7946, 10.1592, N/A, 1.35826, 1.35829, 1.11979, 133.262, 8, 512, 0.125, 1, 1, 1, 44.5541, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 11.983, 11.4018, N/A, 1.38681, 1.38685, 0.724151, 134.877, 8, 512, 0.125, 1, 1, 1, 44.0206, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 10.0374, 9.34118, N/A, 1.35208, 1.35211, 88.3557, 134.499, 8, 512, 0.125, 1, 1, 1, 44.1443, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 10.7946, 10.1592, N/A, 1.35826, 1.35829, 1.11979, 133.262, 8, 512, 0.125, 1, 1, 1, 44.5541, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 11.983, 11.4018, N/A, 1.38681, 1.38685, 0.724151, 134.877, 8, 512, 0.125, 1, 1, 1, 44.0206, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 10.0374, 9.34118, N/A, 1.35208, 1.35211, 88.3557, 134.499, 8, 512, 0.125, 1, 1, 1, 44.1443, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 10.7946, 10.1592, N/A, 1.35826, 1.35829, 1.11979, 133.262, 8, 512, 0.125, 1, 1, 1, 44.5541, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 11.983, 11.4018, N/A, 1.38681, 1.38685, 0.724151, 134.877, 8, 512, 0.125, 1, 1, 1, 44.0206, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 10.0374, 9.34118, N/A, 1.35208, 1.35211, 88.3557, 134.499, 8, 512, 0.125, 1, 1, 1, 44.1443, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 10.7946, 10.1592, N/A, 1.35826, 1.35829, 1.11979, 133.262, 8, 512, 0.125, 1, 1, 1, 44.5541, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 11.983, 11.4018, N/A, 1.38681, 1.38685, 0.724151, 134.877, 8, 512, 0.125, 1, 1, 1, 44.0206, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 9.54529, 7.92288, N/A, 1.25017, 1.25019, 0.384749, 134.495, 16, 512, 0.125, 1, 1, 1, 44.1457, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 11.0777, 10.4153, N/A, 1.37964, 1.37967, 0.276804, 135.056, 8, 512, 0.125, 1, 1, 1, 43.9621, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 12.0003, 11.5057, N/A, 1.38725, 1.38728, 0.429676, 133.886, 8, 512, 0.125, 1, 1, 1, 44.3465, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 9.54529, 7.92288, N/A, 1.25017, 1.25019, 0.384749, 134.495, 16, 512, 0.125, 1, 1, 1, 44.1457, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 11.0777, 10.4153, N/A, 1.37964, 1.37967, 0.276804, 135.056, 8, 512, 0.125, 1, 1, 1, 43.9621, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 12.0003, 11.5057, N/A, 1.38725, 1.38728, 0.429676, 133.886, 8, 512, 0.125, 1, 1, 1, 44.3465, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 9.54529, 7.92288, N/A, 1.25017, 1.25019, 0.384749, 134.495, 16, 512, 0.125, 1, 1, 1, 44.1457, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 11.0777, 10.4153, N/A, 1.37964, 1.37967, 0.276804, 135.056, 8, 512, 0.125, 1, 1, 1, 43.9621, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 12.0003, 11.5057, N/A, 1.38725, 1.38728, 0.429676, 133.886, 8, 512, 0.125, 1, 1, 1, 44.3465, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 16, 1, 64, 9.54529, 7.92288, N/A, 1.25017, 1.25019, 0.384749, 134.495, 16, 512, 0.125, 1, 1, 1, 44.1457, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
